46.97027414178282+2.5303549385479493*^-15*I,45.75440608460718+7.613335696443191*^-16*I,36.09739147134349+3.66152616742438*^-15*I,34.886147387240776-4.294345254186493*^-16*I,34.10893479274303-1.1849408795092764*^-16*I,23.307909545117212+1.1248337214142626*^-15*I,23.193530514458793+2.3108435320130307*^-15*I,12.16592061350731+1.951563910473908*^-17*I,12.134999353929532+1.4224732503009818*^-16*I,0.
49.89282107923095-4.1960417711078036*^-15*I,48.786186027516905-3.384822192347365*^-15*I,38.47577503960123-5.1344169143891496*^-15*I,28.438827753982537-2.0786370436426803*^-15*I,27.445525300957623-8.841803848374645*^-16*I,24.941891096958162-1.751311774807128*^-15*I,24.890213659292584-1.8629849118461697*^-15*I,12.947832800234579-6.743737512859838*^-17*I,12.937830318191859-2.5153490401663703*^-17*I,0.
52.88767449250741-1.0996828679833387*^-15*I,51.65502205028093+1.1734382865034461*^-15*I,40.92883477816614-1.7354256881852092*^-15*I,39.79097877026094-1.8318126935449184*^-15*I,38.73561286933194+4.8773819182890113*^-17*I,26.59811857668088+8.041117283055407*^-16*I,26.199776824479656-1.0632177792402236*^-15*I,13.770488173682544-8.673617379884035*^-17*I,13.736413494950808+8.326672684688674*^-17*I,0.
58.493582116493855+1.0963311741389398*^-15*I,55.41255141143881+2.831037791226841*^-16*I,42.182212909323+4.2661025892921204*^-16*I,41.035295796016655+4.632701731661217*^-16*I,40.17967355182145-1.0391649352869211*^-15*I,28.417124581343383+1.239619928480839*^-15*I,27.98599615981207+8.511437985370477*^-16*I,14.517275710387839+1.4988010832439613*^-15*I,14.496643711220853-5.551115123125783*^-17*I,0.
58.78117150765636-4.729222244414168*^-15*I,58.158364637933786+7.375027457656859*^-15*I,45.74613988252833+1.2254301783402022*^-15*I,44.54945509620803+2.4765855839610283*^-15*I,43.33393778343131+2.1923491805490345*^-15*I,29.962070656259264+2.349395623213208*^-15*I,29.559163969742794+2.717062741266971*^-15*I,15.310684519475096-1.5404344466674047*^-15*I,15.298244742458337+2.7755575615628914*^-15*I,0.
61.739741614943206-1.3293653054911892*^-15*I,61.003644190693095+3.1018148837109805*^-15*I,47.8005440118637+2.6064908414725944*^-15*I,46.961896554072254-1.2444128618117371*^-15*I,45.66559929229154+1.2238423549080886*^-15*I,31.5494227817737+4.112692596631612*^-15*I,31.178047027852134+2.017149070552335*^-15*I,16.172044149494024+1.429412144204889*^-15*I,16.106487496423092+9.992007221626409*^-16*I,0.
65.00710884487366-4.3747852522334874*^-16*I,64.12488802563685-4.541399579931998*^-16*I,50.33377151520285+1.371021265398501*^-15*I,49.317262220797126-2.0567441807981142*^-15*I,48.231421429131444+5.138338704880867*^-18*I,33.14619173905782+2.085481431668179*^-15*I,32.84407721509157+5.149196619542523*^-15*I,16.90049678446517-7.771561172376096*^-15*I,16.890243583866955+2.6645352591003757*^-15*I,0.
68.58813989406941+6.087652416272372*^-17*I,67.37076213313372+3.6317067645710086*^-16*I,52.5041108102565-7.988663348464328*^-17*I,51.72028286114817+1.576254801247585*^-15*I,50.574806265793875+3.3618831261643647*^-16*I,34.60054145159488-8.877985870755375*^-16*I,34.334488285458505+2.178841845937493*^-15*I,17.710841603470527+6.245004513516506*^-16*I,17.703664778328175-4.440892098500626*^-16*I,0.
71.34494413018953-1.759466478178433*^-15*I,70.29113155192387-3.098469879882153*^-15*I,57.23672332533828-3.000489382285587*^-15*I,54.59227855144722+8.387910107823201*^-18*I,53.662745985929476-3.2874746801851738*^-15*I,36.04925056187671+6.739752195000195*^-15*I,36.019040202808846-5.03519648283608*^-15*I,18.515534850618824+1.1122179566225299*^-14*I,14.723887909000783-7.993605777301127*^-15*I,0.
74.87845332188705+8.595183054078578*^-16*I,73.23865898515228+4.328515381866445*^-15*I,56.68393073916697-3.6872567286743016*^-15*I,56.16658081910514+5.169996015336024*^-16*I,54.53766717565244+5.725076526633328*^-16*I,37.53404128744571-1.1081758308259383*^-15*I,37.44712050898253+2.2597233249160452*^-15*I,19.391624894703217+1.6826817716975029*^-15*I,19.234574363921208+1.5890067039947553*^-15*I,0.
77.33298997413556-4.130702183546686*^-15*I,76.40646883085448+1.1489646419498594*^-15*I,59.24852518459023+5.746573398997312*^-15*I,58.62775426333961+3.419888137135185*^-15*I,56.626037487601714+1.254149387569101*^-15*I,39.092973292754074-1.7662368372618025*^-15*I,39.056836414975734+1.3001414274523554*^-16*I,20.063377214223472+2.0816681711721685*^-15*I,20.02461295574944+1.2212453270876722*^-15*I,0.
80.91410888454713-4.836745821011053*^-16*I,78.97401381036856+3.1807026877497117*^-15*I,61.7502080097443-6.162849749879057*^-15*I,60.825737513468695-1.1402924912606973*^-16*I,58.933824053142544+7.194462081329651*^-16*I,40.56513045619491+1.8194073197273123*^-15*I,40.17902192671852-9.320563885676013*^-15*I,24.031863846078775-4.394747503774555*^-15*I,17.676065557368386-5.355714786589583*^-15*I,0.
64.12815270843201-8.622932344391673*^-15*I,63.27490538508491-9.314950024813155*^-15*I,56.18829707521023+27.66071641449357*I,56.18829707521019-27.660716414493507*I,61.30395400340379+7.324748948549185*^-16*I,48.47487259340936+27.91272989495855*I,48.47487259340932-27.912729894958588*I,42.18589650449045+2.73894999764526*^-15*I,41.88311700421455+2.387664496508805*^-15*I,0.
87.11933774701812+3.7094192991796505*^-15*I,84.78182802864504+9.23864262738169*^-16*I,73.71326604717429+3.344663534838542*^-14*I,60.97337888699322-28.79404095018076*I,60.9733788869932+28.79404095018073*I,43.62009629933185+2.870341210329251*^-15*I,43.42941700949431-2.8469315129812876*^-15*I,22.56695393196193-6.533744625116471*^-15*I,22.37928860977603-4.7517664127515604*^-15*I,0.
90.00214898212126+6.183762807395317*^-15*I,87.98970866258962+6.83744896227659*^-15*I,68.88697777381793+2.057718321406458*^-15*I,68.01985960512751+8.75648307109393*^-16*I,65.7742943674881+1.3365158736503096*^-14*I,45.268021578293215+1.8202459948098935*^-15*I,44.871921826304295-9.232335518909125*^-15*I,23.3625772930713+2.183583175385806*^-16*I,23.146365596370995+2.0469737016526324*^-16*I,0.
92.40056245756519+5.3043538632675624*^-15*I,90.00086648892476+1.1581734659010448*^-15*I,71.32667634276532-6.479317149305159*^-16*I,70.74267689980513-1.5094049364580657*^-15*I,68.75133540404053-6.361131551549751*^-15*I,47.01684976034277-1.3462645942268393*^-15*I,46.459058781571265-5.073493680909729*^-15*I,24.066568708902984-4.440892098500626*^-16*I,23.943166798968896+1.1102230246251565*^-16*I,0.
