58.9169070173215+6.879316520401754*^-17*I,57.42019170809048+3.545389638285105*^-17*I,46.69679001255776+2.0797958992075596*^-17*I,43.62909263085019+3.1742766448299115*^-17*I,42.19215421704181+3.94897691823396*^-17*I,30.144852196467003+1.2494120301080582*^-16*I,30.099972891159986+2.3213307754691023*^-17*I,16.346501238130564+9.147955830346444*^-19*I,15.693053903978221-3.3610267347050637*^-18*I,0.
49.457541460429866-9.712552129862201*^-18*I,48.3904981574042+6.772565972239356*^-17*I,39.020609371684394+1.0702115635681049*^-17*I,36.606685410597+1.0125944181708446*^-16*I,35.511293335602176+3.4433297093216466*^-16*I,25.253011520396218-1.0449886478736207*^-16*I,25.161387069029498+3.9068455462033336*^-17*I,13.674413838353917+6.5052130349130266*^-18*I,13.123432353112001+8.673617379884035*^-19*I,0.
42.56794128774132+3.4229417580163765*^-17*I,41.609391497690616+1.251380397806064*^-17*I,33.498937939484065-1.6011640089776495*^-17*I,31.49947880507444-3.761279556190523*^-17*I,30.646387209384617-2.2855559623048986*^-16*I,21.726237833094707-2.4259183891566514*^-17*I,21.640968750774178+3.27193019125982*^-17*I,11.755760655685442+2.4123498337802474*^-18*I,11.260517382792742-8.673617379884035*^-19*I,0.
37.3535568763407-1.3938468224369722*^-16*I,36.457762814106324+6.385249923495593*^-17*I,29.526691300899202+8.015416493259897*^-17*I,27.597954380248733+1.4952682968443384*^-16*I,26.817635609318415+9.132948441681472*^-17*I,19.05049256458157-3.565099311799164*^-18*I,18.977925523429324+1.9176781869957932*^-17*I,10.163452416419704-1.0340578220080499*^-17*I,9.721607680789978-1.5178830414797062*^-18*I,0.
33.23031134886313-2.5414604732323883*^-17*I,32.45088726547481+1.5538131020437165*^-17*I,26.31993649705918+3.582402869209221*^-17*I,24.582814051825906+4.0321242508870974*^-17*I,23.94072810304056-4.7224670094206173*^-17*I,16.962129419147654+1.903058867302073*^-16*I,16.901142529520797-1.9517763919507843*^-16*I,9.074344530499994+5.095750210681871*^-18*I,8.67852101071997+5.204170427930421*^-18*I,0.
29.941560985870765+1.1019692064266215*^-17*I,29.244363748164588-1.8712583950809702*^-17*I,23.650090301862438+6.282269547606771*^-18*I,22.165805174551462-5.082150699759213*^-17*I,21.57262066431123-3.674045758255528*^-16*I,15.285549831256576+4.830902701353361*^-17*I,15.219623761668467-6.864476136758141*^-18*I,8.186471532989074-8.131516293641283*^-18*I,7.833885803483447+6.938893903907228*^-18*I,0.
